,Name,Reason,Start Date,End Date
0,L. Messi,Hamstring,25/09/19,01/10/19
1,L. Messi,Calf Muscle Strain,05/08/19,16/09/19
2,L. Messi,Broken Arm,21/10/18,10/11/18
3,L. Messi,Suspended,20/03/17,03/04/17
4,L. Messi,Virus,19/11/16,22/11/16
5,L. Messi,Thigh Muscle Strain,22/09/16,12/10/16
6,L. Messi,Renal Colic,08/02/16,12/02/16
7,L. Messi,Renal Colic,16/12/15,19/12/15
8,L. Messi,Knee Injury,27/09/15,20/11/15
9,L. Messi,Hamstring,11/11/13,06/01/14
10,L. Messi,Thigh Muscle Strain,29/09/13,18/10/13
11,L. Messi,Hamstring,22/08/13,27/08/13
12,L. Messi,Thigh Muscle Strain,12/05/13,01/06/13
13,L. Messi,Calf Muscle Strain,04/04/13,09/04/13
0,Cristiano Ronaldo,Ankle/Foot Injury,07/05/18,18/05/18
1,Cristiano Ronaldo,Suspended,14/08/17,18/09/17
2,Cristiano Ronaldo,Knock,02/03/17,06/03/17
3,Cristiano Ronaldo,Virus,17/09/16,20/09/16
4,Cristiano Ronaldo,Knee Injury,11/07/16,08/09/16
5,Cristiano Ronaldo,Thigh Muscle Strain,27/04/16,02/05/16
6,Cristiano Ronaldo,Suspended,25/01/15,05/02/15
7,Cristiano Ronaldo,Knock,29/08/14,10/09/14
8,Cristiano Ronaldo,Knock,08/05/14,15/05/14
9,Cristiano Ronaldo,Knee Injury,09/04/14,21/04/14
10,Cristiano Ronaldo,Knee Injury,03/04/14,07/04/14
11,Cristiano Ronaldo,Suspended,03/02/14,23/02/14
12,Cristiano Ronaldo,Hamstring,24/11/13,09/12/13
13,Cristiano Ronaldo,Back Injury,30/05/13,05/06/13
14,Cristiano Ronaldo,Hamstring,25/04/13,29/04/13
15,Cristiano Ronaldo,Suspended,07/01/13,13/01/13
0,Neymar Jr,Hip/Thigh Injury,02/02/20,10/02/20
1,Neymar Jr,Groin/Pelvis Injury,11/10/19,20/11/19
2,Neymar Jr,Ankle/Foot Injury,01/08/19,23/08/19
3,Neymar Jr,Suspended,15/05/19,27/05/19
4,Neymar Jr,Ankle/Foot Injury,24/01/19,20/04/19
5,Neymar Jr,Groin Strain,03/12/18,02/01/19
6,Neymar Jr,Groin Strain,21/11/18,27/11/18
7,Neymar Jr,Broken Toe,26/02/18,20/05/18
8,Neymar Jr,Thigh Muscle Strain,20/01/18,25/01/18
9,Neymar Jr,Rib Injury,11/01/18,16/01/18
10,Neymar Jr,Suspended,05/12/17,11/12/17
11,Neymar Jr,Thigh Muscle Strain,03/11/17,15/11/17
12,Neymar Jr,Suspended,23/10/17,28/10/17
13,Neymar Jr,Ankle/Foot Injury,21/09/17,25/09/17
14,Neymar Jr,Suspended,09/04/17,27/04/17
15,Neymar Jr,Suspended,04/12/16,11/12/16
16,Neymar Jr,Suspended,04/03/16,07/03/16
17,Neymar Jr,Hamstring,21/01/16,26/01/16
18,Neymar Jr,Hamstring,08/12/15,16/12/15
19,Neymar Jr,Virus,09/08/15,26/08/15
20,Neymar Jr,Suspended,01/03/15,09/03/15
21,Neymar Jr,Sprained Ankle,22/08/14,29/08/14
22,Neymar Jr,Vertebral Fracture,05/07/14,05/08/14
23,Neymar Jr,Ankle/Foot Injury,17/04/14,10/05/14
24,Neymar Jr,Sprained Ankle,17/01/14,14/02/14
25,Neymar Jr,Suspended,15/12/13,23/12/13
0,J. Oblak,Hamstring,17/05/19,31/05/19
1,J. Oblak,Shoulder Injury,13/12/16,20/02/17
0,E. Hazard,Ankle/Foot Injury,27/11/19,30/01/20
1,E. Hazard,Hamstring,16/08/19,11/09/19
2,E. Hazard,Knock,20/04/19,21/04/19
