,Name,Competitiion,Trophie,Season
0,L. Messi,World Cup,Runner-up,2014 Brazil
1,L. Messi,Copa America,Runner-up,2016  USA
2,L. Messi,Copa America,Runner-up,2015 Chile
3,L. Messi,Copa America,Runner-up,2007 Venezuela
4,L. Messi,La Liga,Winner,2018/2019
5,L. Messi,La Liga,Winner,2017/2018
6,L. Messi,La Liga,Winner,2015/2016
7,L. Messi,La Liga,Winner,2014/2015
8,L. Messi,La Liga,Winner,2012/2013
9,L. Messi,La Liga,Winner,2010/2011
10,L. Messi,La Liga,Winner,2009/2010
11,L. Messi,La Liga,Winner,2008/2009
12,L. Messi,La Liga,Winner,2005/2006
13,L. Messi,La Liga,Winner,2004/2005
14,L. Messi,La Liga,Runner-up,2016/2017
15,L. Messi,La Liga,Runner-up,2013/2014
16,L. Messi,La Liga,Runner-up,2011/2012
17,L. Messi,La Liga,Runner-up,2006/2007
18,L. Messi,Copa del Rey,Winner,2017/2018
19,L. Messi,Copa del Rey,Winner,2016/2017
20,L. Messi,Copa del Rey,Winner,2015/2016
21,L. Messi,Copa del Rey,Winner,2014/2015
22,L. Messi,Copa del Rey,Winner,2011/2012
23,L. Messi,Copa del Rey,Winner,2008/2009
24,L. Messi,Copa del Rey,Runner-up,2018/2019
25,L. Messi,Copa del Rey,Runner-up,2013/2014
26,L. Messi,Copa del Rey,Runner-up,2010/2011
27,L. Messi,Super Cup,Winner,2018/2019
28,L. Messi,Super Cup,Winner,2016/2017
29,L. Messi,Super Cup,Winner,2013/2014
30,L. Messi,Super Cup,Winner,2011/2012
31,L. Messi,Super Cup,Winner,2010/2011
32,L. Messi,Super Cup,Winner,2009/2010
33,L. Messi,Super Cup,Winner,2006/2007
34,L. Messi,Super Cup,Winner,2005/2006
35,L. Messi,Super Cup,Runner-up,2017/2018
36,L. Messi,Super Cup,Runner-up,2015/2016
37,L. Messi,Super Cup,Runner-up,2012/2013
38,L. Messi,Copa Catalunya,Winner,2013/2014
39,L. Messi,Supercopa de Catalunya,Winner,2018
40,L. Messi,Supercopa de Catalunya,Runner-up,2019
41,L. Messi,Supercopa de Catalunya,Runner-up,2016
42,L. Messi,Trofeo Joan Gamper,Winner,2019
43,L. Messi,Trofeo Joan Gamper,Winner,2018
44,L. Messi,Trofeo Joan Gamper,Winner,2017
45,L. Messi,Trofeo Joan Gamper,Winner,2016
46,L. Messi,UEFA Champions League,Winner,2014/2015
47,L. Messi,UEFA Champions League,Winner,2010/2011
