,Id,tm_Id,Name,Team,Nationality,Date of Birth,Height,Strong Foot,Position,Joined,Contract Expires,Followers
17259,0,17259,Manuel Neuer,Bayern Munich,Germany,"Mar 27, 1986","1,93 m",right,Goalkeeper,"Jul 1, 2011",30.06.2021,10043887
40680,1,40680,Sven Ulreich,Bayern Munich,Germany,"Aug 3, 1988","1,92 m",right,Goalkeeper,"Jul 1, 2015",30.06.2021,284045
336307,2,336307,Christian Früchtl,Bayern Munich,Germany,"Jan 28, 2000","1,93 m",left,Goalkeeper,"Jul 1, 2017",30.06.2022,110873
317444,3,317444,Ron-Thorben Hoffmann,Bayern Munich,Germany,"Apr 4, 1999","1,92 m",right,Goalkeeper,"Jul 1, 2018",30.06.2021,28305
281963,4,281963,Lucas Hernández,Bayern Munich,France Spain,"Feb 14, 1996","1,82 m",left,Defender - Centre-Back,"Jul 1, 2019",30.06.2024,1467772
166601,5,166601,Niklas Süle,Bayern Munich,Germany,"Sep 3, 1995","1,95 m",right,Defender - Centre-Back,"Jul 1, 2017",30.06.2022,617292
26485,6,26485,Jérôme Boateng,Bayern Munich,Germany,"Sep 3, 1988","1,92 m",right,Defender - Centre-Back,"Jul 14, 2011",30.06.2021,6232214
345780,7,345780,Lars Lukas Mai,Bayern Munich,Germany,"Mar 31, 2000","1,90 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2022,44282
59016,8,59016,David Alaba,Bayern Munich,Austria,"Jun 24, 1992","1,80 m",left,Defender - Left-Back,"Jul 1, 2010",30.06.2021,4847322
424204,9,424204,Alphonso Davies,Bayern Munich,Canada Liberia,"Nov 2, 2000","1,81 m",left,Defender - Left-Back,"Jan 1, 2019",30.06.2023,626409
353366,10,353366,Benjamin Pavard,Bayern Munich,France,"Mar 28, 1996","1,86 m",right,Defender - Right-Back,"Jul 1, 2019",30.06.2024,1683980
280730,11,280730,Álvaro Odriozola,Bayern Munich,Spain,"Dec 14, 1995","1,76 m",right,Defender - Right-Back,"Jan 22, 2020",30.06.2020,814586
161056,12,161056,Joshua Kimmich,Bayern Munich,Germany,"Feb 8, 1995","1,76 m",right,Midfielder - Defensive Midfield,"Jul 2, 2015",30.06.2023,2607095
44017,13,44017,Javi Martínez,Bayern Munich,Spain,"Sep 2, 1988","1,92 m",right,Midfielder - Defensive Midfield,"Aug 29, 2012",30.06.2021,1935687
60444,14,60444,Thiago,Bayern Munich,Spain Brazil,"Apr 11, 1991","1,74 m",right,Midfielder - Central Midfield,"Jul 14, 2013",30.06.2021,12522
153084,15,153084,Leon Goretzka,Bayern Munich,Germany,"Feb 6, 1995","1,89 m",right,Midfielder - Central Midfield,"Jul 1, 2018",30.06.2022,977517
190393,16,190393,Corentin Tolisso,Bayern Munich,France Togo,"Aug 3, 1994","1,81 m",right,Midfielder - Central Midfield,"Jul 1, 2017",30.06.2022,1161322
344600,17,344600,Michaël Cuisance,Bayern Munich,France,"Aug 16, 1999","1,81 m",left,Midfielder - Central Midfield,"Aug 18, 2019",30.06.2024,no info
80444,18,80444,Philippe Coutinho,Bayern Munich,Brazil Portugal,"Jun 12, 1992","1,72 m",right,Midfielder - Attacking Midfield,"Aug 19, 2019",30.06.2020,22236833
350357,19,350357,Sarpreet Singh,FC Bayern Munich II,New Zealand India,"Feb 20, 1999","1,75 m",left,Midfielder - Attacking Midfield,"Jul 1, 2019",30.06.2022,56785
243714,20,243714,Kingsley Coman,Bayern Munich,France Guadeloupe,"Jun 13, 1996","1,79 m",right,Forward - Left Winger,"Jul 1, 2017",30.06.2023,1004931
42460,21,42460,Ivan Perisic,Bayern Munich,Croatia,"Feb 2, 1989","1,87 m",both,Forward - Left Winger,"Aug 13, 2019",30.06.2020,1467898
159471,22,159471,Serge Gnabry,Bayern Munich,Germany Cote d'Ivoire,"Jul 14, 1995","1,75 m",right,Forward - Right Winger,"Jul 1, 2017",30.06.2023,no info
483974,23,483974,Leon Dajaku,FC Bayern Munich II,Germany Kosovo,"Apr 12, 2001","1,80 m",right,Forward - Right Winger,"Jul 16, 2019",30.06.2023,no info
58358,24,58358,Thomas Müller,Bayern Munich,Germany,"Sep 13, 1989","1,86 m",right,Forward - Second Striker,"Jul 1, 2009",30.06.2021,7278892
38253,25,38253,Robert Lewandowski,Bayern Munich,Poland,"Aug 21, 1988","1,84 m",right,Forward - Centre-Forward,"Jul 1, 2014",30.06.2023,16724033
435648,26,435648,Joshua Zirkzee,FC Bayern Munich II,Netherlands Nigeria,"May 22, 2001","1,93 m",right,Forward - Centre-Forward,"Mar 1, 2019",30.06.2023,204243
343337,27,343337,Fiete Arp,Bayern Munich,Germany,"Jan 6, 2000","1,84 m",right,Forward - Centre-Forward,"Jul 1, 2019",30.06.2024,176299
59027,28,59027,Roman Bürki,Borussia Dortmund,Switzerland,"Nov 14, 1990","1,87 m",right,Goalkeeper,"Jul 1, 2015",30.06.2021,733565
59238,29,59238,Marwin Hitz,Borussia Dortmund,Switzerland,"Sep 18, 1987","1,94 m",right,Goalkeeper,"Jul 1, 2018",30.06.2021,99395
388815,30,388815,Luca Unbehaun,Borussia Dortmund,Germany,"Feb 27, 2001","1,86 m",right,Goalkeeper,"Jul 1, 2019",30.06.2022,no info
152460,31,152460,Eric Oelschlägel,Borussia Dortmund,Germany,"Sep 20, 1995","1,93 m",right,Goalkeeper,"Jul 1, 2018",30.06.2020,no info
284730,32,284730,Manuel Akanji,Borussia Dortmund,Switzerland Nigeria,"Jul 19, 1995","1,86 m",right,Defender - Centre-Back,"Jan 15, 2018",30.06.2022,219946
39728,33,39728,Mats Hummels,Borussia Dortmund,Germany,"Dec 16, 1988","1,91 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2022,2979373
344598,34,344598,Dan-Axel Zagadou,Borussia Dortmund,France Cote d'Ivoire,"Jun 3, 1999","1,96 m",left,Defender - Centre-Back,"Jul 1, 2017",30.06.2022,no info
575998,35,575998,Leonardo Balerdi,Borussia Dortmund,Argentina,"Jan 26, 1999","1,88 m",right,Defender - Centre-Back,"Jan 14, 2019",30.06.2024,195154
85867,36,85867,Nico Schulz,Borussia Dortmund,Germany Italy,"Apr 1, 1993","1,80 m",left,Defender - Left-Back,"Jul 1, 2019",30.06.2024,138580
35208,37,35208,Marcel Schmelzer,Borussia Dortmund,Germany,"Jan 22, 1988","1,80 m",left,Defender - Left-Back,"Jul 1, 2008",30.06.2021,487178
398073,38,398073,Achraf Hakimi,Borussia Dortmund,Morocco Spain,"Nov 4, 1998","1,81 m",right,Defender - Right-Back,"Jul 11, 2018",30.06.2020,2749786
25727,39,25727,Lukasz Piszczek,Borussia Dortmund,Poland,"Jun 3, 1985","1,84 m",right,Defender - Right-Back,"Jul 1, 2010",30.06.2020,887693
388513,40,388513,Mateu Morey,Borussia Dortmund,Spain,"Mar 2, 2000","1,72 m",right,Defender - Right-Back,"Jul 1, 2019",30.06.2024,50012
119296,41,119296,Emre Can,Borussia Dortmund,Germany Turkey,"Jan 12, 1994","1,86 m",right,Midfielder - Defensive Midfield,"Jan 31, 2020",30.06.2024,461
35047,42,35047,Axel Witsel,Borussia Dortmund,Belgium Martinique,"Jan 12, 1989","1,88 m",right,Midfielder - Defensive Midfield,"Aug 6, 2018",30.06.2022,1389400
384745,43,384745,Tobias Raschl,Borussia Dortmund,Germany,"Feb 21, 2000","1,77 m",right,Midfielder - Defensive Midfield,"Jul 1, 2019",30.06.2022,25714
187492,44,187492,Julian Brandt,Borussia Dortmund,Germany,"May 2, 1996","1,86 m",right,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2024,714174
91849,45,91849,Thomas Delaney,Borussia Dortmund,Denmark United States,"Sep 3, 1991","1,82 m",left,Midfielder - Central Midfield,"Jul 1, 2018",30.06.2022,140563
191422,46,191422,Mahmoud Dahoud,Borussia Dortmund,Germany Syria,"Jan 1, 1996","1,77 m",right,Midfielder - Central Midfield,"Jul 1, 2017",30.06.2022,0
170986,47,170986,Raphaël Guerreiro,Borussia Dortmund,Portugal France,"Dec 22, 1993","1,70 m",left,Midfielder - Left Midfield,"Jul 1, 2016",30.06.2023,655062
504215,48,504215,Giovanni Reyna,Borussia Dortmund,United States Portugal,"Nov 13, 2002","1,83 m",right,Midfielder - Attacking Midfield,"Jan 12, 2020",30.06.2021,152729
102226,49,102226,Thorgan Hazard,Borussia Dortmund,Belgium,"Mar 29, 1993","1,74 m",right,Forward - Left Winger,"Jul 1, 2019",30.06.2024,679215
401173,50,401173,Jadon Sancho,Borussia Dortmund,England,"Mar 25, 2000","1,80 m",right,Forward - Right Winger,"Aug 31, 2017",30.06.2022,3622482
35207,51,35207,Marco Reus,Borussia Dortmund,Germany,"May 31, 1989","1,80 m",right,Forward - Second Striker,"Jul 1, 2012",30.06.2023,8298900
418560,52,418560,Erling Haaland,Borussia Dortmund,Norway,"Jul 21, 2000","1,94 m",left,Forward - Centre-Forward,"Jan 1, 2020",30.06.2024,3484904
74842,53,74842,Mario Götze,Borussia Dortmund,Germany,"Jun 3, 1992","1,76 m",right,Forward - Centre-Forward,"Jul 21, 2016",30.06.2020,8526448
57071,54,57071,Péter Gulácsi,RB Leipzig,Hungary,"May 6, 1990","1,90 m",right,Goalkeeper,"Jul 1, 2015",30.06.2023,no info
147051,55,147051,Yvon Mvogo,RB Leipzig,Switzerland Cameroon,"Jun 6, 1994","1,86 m",right,Goalkeeper,"Jul 1, 2017",30.06.2021,38488
21726,56,21726,Philipp Tschauner,RB Leipzig,Germany,"Nov 3, 1985","1,96 m",right,Goalkeeper,"Jul 30, 2019",30.06.2021,no info
344695,57,344695,Dayot Upamecano,RB Leipzig,France Guinea-Bissau,"Oct 27, 1998","1,86 m",right,Defender - Centre-Back,"Jan 13, 2017",30.06.2021,79145
357119,58,357119,Ibrahima Konaté,RB Leipzig,France,"May 25, 1999","1,93 m",right,Defender - Centre-Back,"Jul 1, 2017",30.06.2023,35725
93740,59,93740,Willi Orban,RB Leipzig,Hungary Germany,"Nov 3, 1992","1,86 m",right,Defender - Centre-Back,"Jul 1, 2015",30.06.2022,42096
392771,60,392771,Ethan Ampadu,RB Leipzig,Wales England,"Sep 14, 2000","1,82 m",right,Defender - Centre-Back,"Jul 22, 2019",30.06.2020,349650
405679,61,405679,Frederik Jäkel,RB Leipzig,Germany,"Mar 7, 2001","1,93 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2022,no info
508961,62,508961,Malik Talabidi,RB Leipzig,Germany Togo,"Jul 16, 2001","1,84 m",right,Defender - Centre-Back,"Jul 28, 2019",30.06.2021,2043
70243,63,70243,Marcel Halstenberg,RB Leipzig,Germany,"Sep 27, 1991","1,88 m",left,Defender - Left-Back,"Aug 31, 2015",30.06.2022,39686
277179,64,277179,Angeliño,RB Leipzig,Spain,"Jan 4, 1997","1,70 m",left,Defender - Left-Back,"Jan 31, 2020",30.06.2020,158952
215599,65,215599,Lukas Klostermann,RB Leipzig,Germany,"Jun 3, 1996","1,89 m",right,Defender - Right-Back,"Aug 22, 2014",30.06.2021,45102
348026,66,348026,Nordi Mukiele,RB Leipzig,France DR Congo,"Nov 1, 1997","1,87 m",right,Defender - Right-Back,"Jul 1, 2018",30.06.2023,38494
332705,67,332705,Tyler Adams,RB Leipzig,United States,"Feb 14, 1999","1,76 m",right,Midfielder - Defensive Midfield,"Jan 1, 2019",30.06.2025,56485
405687,68,405687,Tom Krauß,RB Leipzig,Germany,"Jun 22, 2001","1,82 m",right,Midfielder - Defensive Midfield,"Jul 1, 2019",30.06.2021,3418
223967,69,223967,Konrad Laimer,RB Leipzig,Austria,"May 27, 1997","1,80 m",right,Midfielder - Central Midfield,"Jul 1, 2017",30.06.2023,27851
53418,70,53418,Kevin Kampl,RB Leipzig,Slovenia,"Oct 9, 1990","1,78 m",right,Midfielder - Central Midfield,"Aug 31, 2017",30.06.2021,173213
402008,71,402008,Amadou Haidara,RB Leipzig,Mali,"Jan 31, 1998","1,75 m",right,Midfielder - Central Midfield,"Jan 1, 2019",30.06.2023,47068
462832,72,462832,Mads Bidstrup,RB Leipzig,Denmark,"Feb 25, 2001",no_info,right,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2023,5011
293385,73,293385,Dani Olmo,RB Leipzig,Spain,"May 7, 1998","1,79 m",right,Midfielder - Attacking Midfield,"Jan 25, 2020",30.06.2024,121997
321070,74,321070,Hannes Wolf,RB Leipzig,Austria,"Apr 16, 1999","1,79 m",left,Midfielder - Attacking Midfield,"Jul 1, 2019",30.06.2024,27963
111078,75,111078,Emil Forsberg,RB Leipzig,Sweden,"Oct 23, 1991","1,79 m",right,Forward - Left Winger,"Jan 7, 2015",30.06.2022,122793
344381,76,344381,Christopher Nkunku,RB Leipzig,France DR Congo,"Nov 14, 1997","1,75 m",right,Midfielder - Attacking Midfield,"Jul 18, 2019",30.06.2024,471
406040,77,406040,Ademola Lookman,RB Leipzig,England Nigeria,"Oct 20, 1997","1,74 m",right,Forward - Left Winger,"Jul 25, 2019",30.06.2024,99878
106987,78,106987,Marcel Sabitzer,RB Leipzig,Austria,"Mar 17, 1994","1,77 m",right,Forward - Right Winger,"Jul 1, 2014",30.06.2022,106644
405685,79,405685,Fabrice Hartmann,RB Leipzig,Germany,"Mar 2, 2001","1,78 m",left,Forward - Right Winger,"Jul 3, 2019",30.06.2021,2990
170527,80,170527,Timo Werner,RB Leipzig,Germany,"Mar 6, 1996","1,81 m",right,Forward - Centre-Forward,"Jul 1, 2016",30.06.2023,713749
157635,81,157635,Yussuf Poulsen,RB Leipzig,Denmark Tanzania,"Jun 15, 1994","1,93 m",right,Forward - Centre-Forward,"Jul 4, 2013",30.06.2022,106114
242086,82,242086,Patrik Schick,RB Leipzig,Czech Republic,"Jan 24, 1996","1,87 m",left,Forward - Centre-Forward,"Sep 2, 2019",30.06.2020,282841
48015,83,48015,Lukas Hradecky,Bayer 04 Leverkusen,Finland Slovakia,"Nov 24, 1989","1,92 m",right,Goalkeeper,"Jul 1, 2018",30.06.2023,72676
16498,84,16498,Ramazan Özcan,Bayer 04 Leverkusen,Austria,"Jun 28, 1984","1,87 m",left,Goalkeeper,"Jul 1, 2016",30.06.2020,no info
85543,85,85543,Niklas Lomb,Bayer 04 Leverkusen,Germany,"Jul 28, 1993","1,87 m",right,Goalkeeper,"Jul 1, 2012",30.06.2020,no info
196357,86,196357,Jonathan Tah,Bayer 04 Leverkusen,Germany Cote d'Ivoire,"Feb 11, 1996","1,95 m",right,Defender - Centre-Back,"Jul 16, 2015",30.06.2023,178462
564545,87,564545,Edmond Tapsoba,Bayer 04 Leverkusen,Burkina Faso,"Feb 2, 1999","1,90 m",right,Defender - Centre-Back,"Jan 31, 2020",30.06.2025,no info
29993,88,29993,Sven Bender,Bayer 04 Leverkusen,Germany,"Apr 27, 1989","1,86 m",right,Defender - Centre-Back,"Jul 13, 2017",30.06.2021,no info
59032,89,59032,Aleksandar Dragovic,Bayer 04 Leverkusen,Austria Serbia,"Mar 6, 1991","1,86 m",right,Defender - Centre-Back,"Aug 23, 2016",30.06.2021,no info
228433,90,228433,Wendell,Bayer 04 Leverkusen,Brazil,"Jul 20, 1993","1,78 m",left,Defender - Left-Back,"Jul 1, 2014",30.06.2021,no info
